Year,"Country of Asylum","Country of Origin","Country of Asylum ISO","Country of Origin ISO",Refugees,Asylum-seekers,IDPs,"Other people in need of international protection","Stateless persons","Host community","Others of concern"
2010,-,Algeria,-,DZA,6665,1714,0,0,0,0,0
2011,-,Algeria,-,DZA,6093,2183,0,0,0,0,0
2012,-,Algeria,-,DZA,5657,2463,0,0,0,0,0
2013,-,Algeria,-,DZA,3643,4286,0,0,0,0,10
2014,-,Algeria,-,DZA,3509,5127,0,0,0,0,12
2015,-,Algeria,-,DZA,3470,7622,0,0,0,0,12
2016,-,Algeria,-,DZA,3705,7177,0,0,0,0,7
2017,-,Algeria,-,DZA,4021,6432,0,0,0,0,7
2018,-,Algeria,-,DZA,4181,7447,0,0,0,0,11
2019,-,Algeria,-,DZA,4514,7703,0,0,0,0,107
2020,-,Algeria,-,DZA,4571,7779,0,0,0,0,96
2021,-,Algeria,-,DZA,6003,6871,0,0,0,0,33
2024,-,Algeria,-,DZA,8800,13598,0,0,0,0,53
2025,-,Algeria,-,DZA,8491,13209,0,0,0,0,206
2023,-,Algeria,-,DZA,7629,11330,0,0,0,0,48
2022,-,Algeria,-,DZA,7734,8923,0,0,0,0,107
2000,-,Egypt,-,EGY,3954,1151,0,0,0,0,0
2001,-,Egypt,-,EGY,4677,1442,0,0,0,0,0
2002,-,Egypt,-,EGY,6442,1825,0,0,0,0,0
2003,-,Egypt,-,EGY,5734,2019,0,0,0,0,0
2004,-,Egypt,-,EGY,5361,2242,0,0,0,0,0
2005,-,Egypt,-,EGY,6288,2327,0,0,0,0,0
2006,-,Egypt,-,EGY,7608,1675,0,0,0,0,0
2007,-,Egypt,-,EGY,6789,1614,0,0,0,0,0
2008,-,Egypt,-,EGY,6777,1803,0,0,0,0,0
2009,-,Egypt,-,EGY,6983,1626,0,0,0,0,0
2010,-,Egypt,-,EGY,6903,1571,0,0,0,0,0
2011,-,Egypt,-,EGY,7922,2613,0,0,0,0,0
2012,-,Egypt,-,EGY,10014,4118,0,0,0,0,0
2013,-,Egypt,-,EGY,12804,9478,0,0,0,0,0
2014,-,Egypt,-,EGY,15899,10816,0,0,0,0,42
2015,-,Egypt,-,EGY,17929,12142,0,0,0,0,78
2016,-,Egypt,-,EGY,19792,13026,0,0,0,0,111
2017,-,Egypt,-,EGY,22106,14588,0,0,0,0,41
2018,-,Egypt,-,EGY,24850,16760,0,0,0,0,47
2019,-,Egypt,-,EGY,27416,16627,0,0,0,0,349
2020,-,Egypt,-,EGY,26553,16313,0,0,0,0,88
2021,-,Egypt,-,EGY,27498,21016,0,0,0,0,82
2024,-,Egypt,-,EGY,23736,55917,0,0,0,0,329
2025,-,Egypt,-,EGY,24155,56392,0,0,0,0,1582
2023,-,Egypt,-,EGY,23160,46356,0,0,0,0,273
2022,-,Egypt,-,EGY,24390,27834,0,0,0,0,162
2000,-,Bahrain,-,BHR,92,51,0,0,0,0,0
2001,-,Bahrain,-,BHR,46,5,0,0,0,0,0
2002,-,Bahrain,-,BHR,49,5,0,0,0,0,0
2003,-,Bahrain,-,BHR,50,5,0,0,0,0,0
2004,-,Bahrain,-,BHR,52,18,0,0,0,0,0
2005,-,Bahrain,-,BHR,40,22,0,0,0,0,0
2006,-,Bahrain,-,BHR,56,14,0,0,0,0,0
2007,-,Bahrain,-,BHR,65,16,0,0,0,0,0
2008,-,Bahrain,-,BHR,72,10,0,0,0,0,0
2009,-,Bahrain,-,BHR,72,0,0,0,0,0,0
2010,-,Bahrain,-,BHR,81,24,0,0,0,0,0
2011,-,Bahrain,-,BHR,213,72,0,0,0,0,0
2012,-,Bahrain,-,BHR,294,103,0,0,0,0,0
2013,-,Bahrain,-,BHR,274,89,0,0,0,0,7
2014,-,Bahrain,-,BHR,344,98,0,0,0,0,7
2015,-,Bahrain,-,BHR,422,81,0,0,0,0,0
2016,-,Bahrain,-,BHR,461,118,0,0,0,0,0
2017,-,Bahrain,-,BHR,497,172,0,0,0,0,0
2018,-,Bahrain,-,BHR,540,136,0,0,0,0,0
2019,-,Bahrain,-,BHR,557,156,0,0,0,0,0
2020,-,Bahrain,-,BHR,534,118,0,0,0,0,0
2021,-,Bahrain,-,BHR,416,137,0,0,0,0,0
2024,-,Bahrain,-,BHR,289,325,0,0,0,0,0
2025,-,Bahrain,-,BHR,269,203,0,0,0,0,0
2023,-,Bahrain,-,BHR,304,207,0,0,0,0,0
2022,-,Bahrain,-,BHR,312,158,0,0,0,0,0
2000,-,"Iran (Islamic Rep. of)",-,IRN,88266,20622,0,0,0,0,0
2001,-,"Iran (Islamic Rep. of)",-,IRN,92490,14138,0,0,0,0,0
2002,-,"Iran (Islamic Rep. of)",-,IRN,138362,13180,0,0,0,0,0
2003,-,"Iran (Islamic Rep. of)",-,IRN,122530,11359,0,0,0,0,0
2004,-,"Iran (Islamic Rep. of)",-,IRN,115171,9519,0,0,0,0,0
2005,-,"Iran (Islamic Rep. of)",-,IRN,99430,12879,0,0,0,0,0
2006,-,"Iran (Islamic Rep. of)",-,IRN,102479,13707,0,0,0,0,0
2007,-,"Iran (Islamic Rep. of)",-,IRN,68398,10374,0,0,0,0,0
2008,-,"Iran (Islamic Rep. of)",-,IRN,69051,11148,0,0,0,0,0
2009,-,"Iran (Islamic Rep. of)",-,IRN,72771,13734,0,0,0,0,0
2010,-,"Iran (Islamic Rep. of)",-,IRN,68785,16055,0,0,0,0,0
2011,-,"Iran (Islamic Rep. of)",-,IRN,72366,18450,0,0,0,0,0
2012,-,"Iran (Islamic Rep. of)",-,IRN,75932,24043,0,0,0,0,0
2013,-,"Iran (Islamic Rep. of)",-,IRN,75061,28780,0,0,0,0,28
2014,-,"Iran (Islamic Rep. of)",-,IRN,82202,34884,0,0,0,0,25
2015,-,"Iran (Islamic Rep. of)",-,IRN,84950,57081,0,0,0,0,8
2016,-,"Iran (Islamic Rep. of)",-,IRN,94102,87535,0,0,0,0,273
2017,-,"Iran (Islamic Rep. of)",-,IRN,118639,75079,0,0,0,0,2729
2018,-,"Iran (Islamic Rep. of)",-,IRN,129941,87367,0,0,0,0,87
2019,-,"Iran (Islamic Rep. of)",-,IRN,128998,86093,0,0,0,0,405
2020,-,"Iran (Islamic Rep. of)",-,IRN,135018,77229,0,0,0,0,532
2021,-,"Iran (Islamic Rep. of)",-,IRN,142994,68940,0,0,0,0,287
2024,-,"Iran (Islamic Rep. of)",-,IRN,158171,61176,0,0,0,0,88
2025,-,"Iran (Islamic Rep. of)",-,IRN,159882,54389,0,0,0,0,263
2023,-,"Iran (Islamic Rep. of)",-,IRN,151757,63959,0,0,0,0,79
2022,-,"Iran (Islamic Rep. of)",-,IRN,122764,69237,0,0,0,0,58
2000,-,Iraq,-,IRQ,526165,40630,0,0,0,0,13000
2001,-,Iraq,-,IRQ,530508,34826,0,0,0,0,13000
2002,-,Iraq,-,IRQ,422504,29641,0,0,0,0,13000
2003,-,Iraq,-,IRQ,368577,31591,0,0,0,0,18476
2004,-,Iraq,-,IRQ,311889,30619,0,0,0,0,16139
2005,-,Iraq,-,IRQ,262302,34438,1200000,0,0,0,16273
2006,-,Iraq,-,IRQ,1450908,47294,1834368,0,0,0,16123
2007,-,Iraq,-,IRQ,2309246,27667,2385865,0,0,0,20
